"studyNames","manipulation","lab","ha_ds","ha_vi","ha_ns","ha_n1","ha_n2","ls_ds","ls_vi","ls_ns","ls_n1","ls_n2","pa_ds","na_ds"
"Schwarz & Clore, 1983, Study 1","Life Event","1","2.28","0.32996","20","10","10","1.38","0.24761","20","10","10",NA,NA
"Schwarz & Clore, 1983, Study 2","Weather","1","1.47","0.181444642857143","28","14","14","1.03","0.161801785714286","28","14","14",NA,NA
"Schwarz, 1987","Finding Dime","1","0.88","0.2742","16","8","8","0.89","0.274753125","16","8","8",NA,NA
"Schwarz et al., 1987, Study 2","Pleasant Room","1",NA,NA,NA,NA,NA,"1.24","0.216763636363636","22","11","11",NA,NA
"Study 1","Life Event","0","0.104132962548317","0.0201201201201201","201","90","111","0.322741653573555","0.0201201201201201","201","90","111","0.694897131260094","-0.723588506559019"
"Study 2","Life Event","0","0.109767142552985","0.0208202552835321","199","81","118","-0.0297995205675725","0.0208202552835321","199","81","118","0.342700815841354","-0.213526127343138"
"Study 3","Life Event","0","0.382885086144267","0.0149286987522282","268","132","136","0.256044324328125","0.0148717381689518","269","133","136","0.589356869272667","-0.5757349278278"
"Study 4","Life Event","0","-0.0658805176381173","0.0342505854800937","117","56","61","0.210437491652047","0.0339373022720736","118","57","61","-0.116709671443797","-0.225160702398491"
"Study 5","Video","0","0.0442258001846096","0.0127901274926447","313","161","152","0.105270537598068","0.0127517868745939","314","162","152","0.298925685728194","-0.320663737754049"
"Study 6","Video","0","0.195436709961235","0.0100303417838963","400","189","211","-0.0332771236767408","0.0100303417838963","400","189","211","0.590988190814974","-0.503979427382316"
"Study 7","Weather","0","0.0549742261666884","0.0145350324991044","284","117","167","0.0402239701292264","0.0145730706075534","284","116","168","0.17142142407804","0.10110041277948"
"Study 8","Weather","0","-0.150243384084877","0.0307983890073442","130","67","63","0.00271726562310687","0.0307983890073442","130","67","63","-0.0891661196702952","-0.00926183099204056"
"Study 9","Winning Quarter","0",NA,NA,NA,NA,NA,"-0.0891911638202814","0.0328663793103448","122","64","58","-0.0302370970045451","0.240224041208524"
