"condition","condItemOrder","pa","na","lifeHappy","lifeSat","nowHappy","nowUnhappy","nowGood","nowBad","gender","age"
"positive","SatHappy",4.33333333333333,1.33333333333333,3,7,6,2,6,1,2,39
"positive","SatHappy",2.33333333333333,1,6,8,4,4,6,1,1,19
"negative","SatHappy",1.66666666666667,1.33333333333333,5,7,5,4,6,2,2,20
"negative","HappySat",1.66666666666667,1,7,10,3,6,4,5,2,18
"negative","SatHappy",3.33333333333333,1,6,10,5,2,6,1,1,18
"negative","SatHappy",4,1.66666666666667,5,7,6,2,6,1,1,19
"positive","HappySat",5,1.33333333333333,7,10,7,1,7,1,2,18
"negative","SatHappy",5,1,7,10,7,1,7,1,1,18
"positive","SatHappy",4,1,6,9,6,1,6,2,1,19
"positive","SatHappy",4,2.66666666666667,4,4,5,3,5,3,1,18
"negative","HappySat",3,1.33333333333333,5,3,4,4,5,3,1,20
"negative","SatHappy",2,2.33333333333333,5,7,4,3,4,4,1,19
"negative","HappySat",1,4,3,3,2,6,2,5,1,18
"negative","HappySat",3,1.66666666666667,7,10,5,5,6,6,2,20
"positive","HappySat",3.33333333333333,1,6,7,5,2,5,4,2,18
"positive","SatHappy",4,1,6,8,6,1,7,1,2,19
"positive","HappySat",3,3,5,4,4,3,4,3,1,19
"positive","HappySat",4.33333333333333,1.33333333333333,5,8,6,2,6,2,1,20
"negative","SatHappy",4.33333333333333,1.33333333333333,6,9,5,2,6,2,2,18
"positive","SatHappy",NA,NA,7,10,6,1,7,1,NA,NA
"positive","SatHappy",3.33333333333333,1.66666666666667,5,7,5,2,5,2,1,18
"positive","SatHappy",4,1,7,8,7,1,6,2,1,19
"positive","HappySat",4,1,6,7,6,1,6,1,2,20
"negative","HappySat",1,3,5,8,2,6,2,6,1,19
"negative","SatHappy",3.66666666666667,1.66666666666667,7,9,5,2,5,2,NA,NA
"positive","SatHappy",4.66666666666667,1.66666666666667,6,9,7,1,7,1,1,18
"positive","HappySat",4,1,6,8,6,2,5,2,1,18
"positive","HappySat",3.33333333333333,1.33333333333333,6,7,5,2,6,2,1,19
"negative","HappySat",3.66666666666667,1,1,8,6,1,6,1,2,19
"negative","SatHappy",2.33333333333333,1.33333333333333,5,7,4,5,4,4,1,18
"negative","HappySat",3.66666666666667,1.66666666666667,5,8,6,4,6,2,1,18
"positive","HappySat",4,1.66666666666667,5,6,6,1,6,1,1,18
"negative","HappySat",1,2,6,7,2,6,2,4,1,18
"negative","SatHappy",2,2,2,1,2,2,2,2,2,23
"positive","SatHappy",3.66666666666667,1.33333333333333,6,7,5,2,5,2,1,19
"positive","SatHappy",4.33333333333333,1.33333333333333,6,9,7,1,7,1,2,19
"negative","HappySat",2.33333333333333,2,5,4,5,3,2,4,1,19
"positive","SatHappy",3,1.66666666666667,5,6,5,3,4,4,1,21
"positive","HappySat",2.66666666666667,3.33333333333333,4,6,5,3,4,3,1,18
"negative","SatHappy",3,3.66666666666667,6,9,4,4,4,4,2,18
"negative","HappySat",2.66666666666667,2,4,1,3,5,3,5,1,18
"negative","SatHappy",3,1.33333333333333,5,7,4,2,6,2,1,21
"negative","SatHappy",3.33333333333333,2,5,8,5,2,6,2,1,20
"negative","SatHappy",2,4,4,5,3,6,3,5,2,21
"negative","HappySat",3.66666666666667,1,4,7,6,2,7,1,1,19
"positive","HappySat",3,2.33333333333333,6,8,4,4,5,3,2,18
"positive","SatHappy",3.33333333333333,1,5,7,3,4,5,1,1,18
"negative","SatHappy",4,3.66666666666667,6,8,6,2,5,3,1,19
"negative","SatHappy",3,3,6,6,3,6,3,1,1,19
"positive","SatHappy",3.66666666666667,1.66666666666667,6,7,5,2,6,2,1,18
"positive","SatHappy",4,1,6,8,7,1,6,1,1,18
"positive","HappySat",3,1,6,7,4,4,5,3,1,22
"positive","SatHappy",4,1,5,10,7,1,7,1,1,21
"negative","HappySat",4.33333333333333,3,6,8,4,4,3,5,1,21
"negative","SatHappy",3,3,6,8,4,3,3,4,1,18
"negative","SatHappy",1.33333333333333,2.33333333333333,5,8,2,5,3,4,2,18
