"condition","pa","na","lifeHappy","lifeSat","nowHappy","nowGood","gender","age"
4,1,0.2,6.75,6.8,6,7,2,21
4,0.8,0.6,5.5,4.8,5,6,1,18
4,1,0,5.25,5,5,5,1,18
4,1,0.4,4.25,3.8,4,5,2,20
4,1,0.6,5.5,6,5,6,2,19
4,0.8,0,5.75,3.4,6,7,2,19
4,1,0.4,5.75,5.6,5,6,2,18
4,0.6,0.2,4.5,5.6,5,5,2,18
4,0.6,0.8,3.5,5,5,5,1,19
4,0.8,0.2,5.5,6.2,6,6,1,20
4,0.2,0,3.25,4,4,4,2,21
4,1,1,4,4,4,4,1,19
4,0.8,0.4,5.5,5.4,3,5,2,19
4,1,0.6,5.75,6.4,4,4,2,18
4,0.6,0.8,1.75,3.6,4,5,2,19
4,0.6,0.8,4.75,2,3,5,2,20
4,1,0.2,5.25,5.6,5,5,2,20
4,1,0.4,6,6.4,5,5,1,22
4,1,0.4,5.25,5.8,6,6,2,19
4,0.6,0.2,5.25,6.6,5,3,2,20
4,0.8,1,4.5,6,3,2,2,18
4,1,0.2,6.75,7,7,7,2,21
4,0.6,0.4,7,4.6,7,7,2,20
4,0.2,0,5.75,4.6,4,4,2,20
4,0.8,0.8,4.75,3,5,5,1,21
4,0.8,0.8,2,2.2,3,3,2,19
4,0.8,0.4,5.25,4.4,5,5,2,19
4,1,0.6,5.5,6,4,4,2,19
4,1,0.2,4.5,4,5,4,1,19
4,1,0.2,6,6.6,7,7,NA,20
4,1,0.6,5.75,6.2,2,3,1,20
4,1,0.6,5.25,5.6,6,4,1,18
4,0.8,0.4,4.75,5.4,5,5,1,19
4,1,0.2,6.5,6.4,6,7,2,19
4,0.6,0.4,6.25,6.6,5,5,1,18
4,0.4,1,1.25,1,3,4,2,18
4,1,0.4,5.5,5,5,6,2,18
4,0.6,0.2,4.5,4.6,5,4,2,19
4,0.8,0.4,6.75,6.6,6,7,2,19
4,0.8,0.4,5,3.6,6,6,2,18
4,1,0,6.25,5.8,6,6,2,18
4,0.8,1,5.25,4.8,5,5,2,18
4,0.6,0.6,3.25,2.8,4,4,2,18
4,1,0.2,6,5.8,4,3,2,18
4,1,1,3.25,5.4,2,3,2,18
4,1,0.2,6.5,5.2,6,7,2,18
4,0.4,0.2,4.75,6,5,5,2,18
4,1,0.2,6.75,7,6,6,2,18
4,1,0.2,5.75,6.8,6,6,2,19
4,1,0.2,5.25,6.6,5,7,1,19
4,1,0.4,5.75,5.4,6,6,2,18
4,1,0.2,6.75,6.4,6,6,1,18
4,0.6,0.4,5,6.4,5,5,2,18
4,1,0.2,6.25,6.4,5,5,2,18
4,1,0.2,6,5.8,3,3,1,18
4,0.8,0.6,6.75,4.2,3,4,1,19
4,1,0.8,5.25,6.4,3,3,2,19
4,0.4,0.8,4.25,6.2,4,4,2,21
4,1,0.8,5.25,6,6,6,2,19
4,0.4,0.6,2.75,2.2,1,2,2,18
4,0.2,1,2.75,2.6,4,4,2,18
5,0.8,0,5,5.6,6,6,1,21
5,0.6,0,5.5,6.6,6,6,1,22
5,0.8,0.4,6.25,6.4,5,7,2,18
5,1,0.2,6.5,5.6,4,4,1,19
5,0.8,0.6,5.5,5.2,5,5,1,19
5,1,0,7,6.6,3,5,2,21
5,0.8,0.8,4.75,5.4,6,6,2,18
5,1,0,6.75,7,6,7,2,19
5,0.6,0.2,4.5,4.2,5,5,1,19
5,0.8,0.2,5.5,5.4,5,5,1,19
5,0.8,0,6,5.8,6,6,NA,21
5,0.4,0.4,3.25,4.6,4,4,1,21
5,0,1,4.75,4,6,6,2,19
5,0.4,0.8,5,6.2,4,4,2,19
5,0.8,0.8,3.25,4,5,6,2,19
5,1,0.2,5.5,4.4,5,5,2,19
5,1,0.25,NA,6.4,5,6,2,18
5,1,0,5,6,6,6,2,19
5,0.8,0.4,5.25,6,5,5,2,19
5,0.6,0.4,6.5,5,4,4,1,20
5,1,0.6,5.25,5.6,5,5,1,19
5,0.8,0.4,5.5,5.8,5,5,1,20
5,1,0.4,6.75,6.2,2,6,1,19
5,1,0.4,5,6.4,5,5,2,18
5,1,0.6,5.25,4,3,5,2,18
5,0.8,0.8,3.75,6,4,4,1,18
5,1,0.6,6.5,5,4,5,2,18
5,0.8,0.4,5.5,5.6,7,6,1,19
5,1,0.2,4.75,6.2,5,6,2,18
5,0.6,0,4,5.2,4,4,1,19
5,1,0.8,5,6.2,5,3,1,20
5,1,0,5.25,4,5,7,2,20
5,0.4,0.4,3.5,4,4,3,2,18
5,1,0.2,5.25,6,5,5,2,20
5,0.8,0,6.75,7,7,7,1,18
5,0.8,0.4,6.25,6.4,6,6,2,18
5,0.4,0.2,3.75,5.4,4,4,2,18
5,1,0.2,5.5,6.6,5,6,2,19
5,1,0.2,5,6,6,6,2,19
5,0.8,0.8,3.5,5.8,3,3,2,18
