"swls","traitPA","traitNA","gender","age","condition","condition2","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,5,2.83333333333333,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,3.66666666666667,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.4,4.33333333333333,2.66666666666667,1,20,"good",2,8,9,8,4,1.33333333333333,0,2.66666666666667,0.555555555555556,8
1.8,4.33333333333333,5.33333333333333,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,4.66666666666667,1.83333333333333,2,28,"bad",1,8,8,8,3,1.66666666666667,0,0.666666666666667,0.833333333333333,8
4.6,4,1.83333333333333,1,22,"bad",3,5,6,2,2.33333333333333,1.66666666666667,0,3,1.33333333333333,8
6.8,6,0.833333333333333,1,21,"good",4,10,10,9,4.66666666666667,1,NA,NA,NA,NA
5,4.66666666666667,4,1,19,"bad",3,7,7,6,3,3,0,3.22222222222222,2.61111111111111,7
4.4,4.33333333333333,3.16666666666667,1,18,"bad",3,6,7,6,3.33333333333333,2.33333333333333,0,2,0.722222222222222,5
5.2,5.33333333333333,3.33333333333333,1,21,"bad",3,8,8,7,4.33333333333333,1,0,3.11111111111111,0.944444444444444,10
4.8,2.33333333333333,3.16666666666667,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.6,5,2.33333333333333,1,19,"bad",3,7,7,7,4,2.33333333333333,0,3.22222222222222,1.22222222222222,7
6,3.66666666666667,3.5,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,3.66666666666667,3.5,1,18,"bad",1,6,6,7,3.33333333333333,2.33333333333333,0,3.44444444444444,2.94444444444444,4
4,3,2.83333333333333,2,19,NA,NA,NA,NA,NA,NA,NA,0,2,1.94444444444444,8
3.4,3.66666666666667,3,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.2,4,3.66666666666667,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5.2,3.66666666666667,3.5,2,21,"bad",1,0,0,0,1,5,0,NA,NA,NA
3.2,4,3,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.2,4,3.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.8,4.33333333333333,3.16666666666667,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,4.33333333333333,3.5,1,20,"bad",3,8,8,6,4,2,0,3.22222222222222,1.33333333333333,7
5.4,4.33333333333333,2.5,1,26,"bad",1,7,7,6,3,1.66666666666667,0,1.88888888888889,1.33333333333333,4
3.6,2.66666666666667,2.5,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6.8,5,3.16666666666667,1,22,"good",2,9,8,10,4,1,NA,NA,NA,NA
6.2,4.66666666666667,2,2,20,"bad",1,9,9,7,3.66666666666667,1.33333333333333,NA,NA,NA,NA
4.2,2,2.33333333333333,1,21,NA,NA,NA,NA,NA,NA,NA,0,2.33333333333333,3.22222222222222,4
4.6,3.33333333333333,3.33333333333333,1,21,"good",4,7,7,5,3,1.33333333333333,0,2.44444444444444,1.33333333333333,5
5.6,4.33333333333333,1.83333333333333,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,5.66666666666667,2,1,21,"bad",1,9,10,4,2.66666666666667,1,0,NA,NA,NA
5.2,4,3.33333333333333,1,20,NA,NA,NA,NA,NA,NA,NA,0,2.77777777777778,1.16666666666667,5
4,4,3,1,18,"bad",3,7,7,3,3.66666666666667,1.66666666666667,0,1.88888888888889,2.44444444444444,4
5.8,5,2.66666666666667,1,20,"bad",3,9,9,8,3.66666666666667,1.33333333333333,NA,NA,NA,NA
6.4,4.66666666666667,2.33333333333333,1,19,"bad",1,7,7,7,2.66666666666667,1,0,3.66666666666667,0.555555555555556,4
3.8,3.33333333333333,2.83333333333333,1,20,"good",2,6,7,8,3.66666666666667,1.66666666666667,0,1.22222222222222,1.05555555555556,4
6,4.33333333333333,2.33333333333333,2,22,"bad",3,8,8,7,4,1.33333333333333,NA,NA,NA,NA
6,5.66666666666667,1.83333333333333,1,20,"bad",3,9,9,8,5,1.33333333333333,0,4,0.111111111111111,7
6,5.66666666666667,2.83333333333333,1,21,NA,NA,NA,NA,NA,NA,NA,0,4,0.777777777777778,8
3.4,3,3,2,19,NA,NA,NA,NA,NA,NA,NA,0,1.33333333333333,1.5,7
5.4,5.66666666666667,1.16666666666667,1,25,"bad",3,7,8,5,4,1,0,2.77777777777778,0.666666666666667,8
5.6,4.33333333333333,2,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5.66666666666667,2.16666666666667,1,20,"bad",3,8,8,7,3.33333333333333,1,NA,NA,NA,NA
4.6,3.66666666666667,2.66666666666667,1,19,"bad",3,6,8,6,2,3.66666666666667,0,1.11111111111111,2,4
