"swls","traitPA","traitNA","gender","age","condition","condition2","surveyCond","lifeSat2","lifeHappy1","lifeChange","moodPA","moodNA","drmDayWrong","drmPA","drmNA","daySat"
NA,5.33333333333333,3.16666666666667,1,19,"good",6,"Questions",10,6,1,4,1.66666666666667,0,1.44444444444444,1.5,7
3.4,3,2.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3,3.66666666666667,1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,4.11111111111111,1.44444444444444,9
6,3.66666666666667,4,1,19,"good",6,"Questions",7,8,8,4,1.66666666666667,0,2.5,1.05555555555556,8
NA,3,1.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.6,4,2.66666666666667,2,18,"good",6,"Questions",6,7,5,4,1.66666666666667,0,3.66666666666667,3.11111111111111,7
5.4,5.33333333333333,3.16666666666667,1,18,NA,NA,NA,NA,NA,NA,NA,NA,0,2.33333333333333,1.5,6
6,4.66666666666667,1.16666666666667,2,21,"good",6,"NoQuestions",8,7,6,4,1,0,3.77777777777778,0.333333333333333,7
5.4,4.66666666666667,2.33333333333333,1,20,"good",6,"NoQuestions",6,6,4,3,2.33333333333333,0,3.44444444444444,1.22222222222222,7
4.8,4.66666666666667,3.5,1,19,"good",6,"NoQuestions",8,7,10,3.66666666666667,2,0,2.88888888888889,3.11111111111111,5
NA,5.66666666666667,2.16666666666667,1,20,"bad",5,"NoQuestions",9,10,9,3.66666666666667,1.33333333333333,0,2.77777777777778,0.388888888888889,7
NA,6,2.66666666666667,1,18,"bad",5,"NoQuestions",8,8,7,4,1.33333333333333,NA,NA,NA,NA
NA,3.33333333333333,3.83333333333333,1,19,"good",6,"NoQuestions",7,7,2,3,1,0,1.33333333333333,1.16666666666667,6
6,5,2.5,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3.33333333333333,4.16666666666667,1,18,"good",6,"Questions",6,6,6,3.33333333333333,2,0,2,2,6
6,4.33333333333333,2.5,1,26,"good",6,"NoQuestions",9,9,1,4,1.33333333333333,0,3.22222222222222,0.166666666666667,9
3.8,3,4.33333333333333,1,20,"good",6,"Questions",7,8,6,4,3.33333333333333,0,4.11111111111111,2.38888888888889,7
NA,5,2.66666666666667,1,22,"good",6,"NoQuestions",6,6,7,3,2,0,3.88888888888889,0.944444444444444,7
NA,5.33333333333333,3,1,18,"bad",5,"Questions",7,5,5,3.33333333333333,2.33333333333333,0,3.66666666666667,1.26666666666667,8
NA,4.66666666666667,1.83333333333333,1,18,"bad",5,"NoQuestions",5,8,7,3.66666666666667,1.33333333333333,NA,NA,NA,NA
NA,4.33333333333333,3.5,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,3.33333333333333,3.5,2,18,"bad",5,"NoQuestions",5,7,5,3,1,0,2.33333333333333,1.88888888888889,6
3,4,3.33333333333333,1,20,"good",6,"Questions",8,8,5,4,1.33333333333333,0,3.11111111111111,0.388888888888889,7
4.6,4,2.33333333333333,2,19,"good",6,"NoQuestions",7,7,5,4,2,0,1.77777777777778,0.111111111111111,7
NA,5.33333333333333,3,1,19,"bad",5,"NoQuestions",9,9,9,3,1.66666666666667,0,3.44444444444444,0.777777777777778,9
NA,4,3,2,19,"bad",5,"NoQuestions",8,8,7,3,1,0,1.66666666666667,1.66666666666667,3
NA,5,2,1,18,"bad",5,"NoQuestions",8,8,8,4,2,0,2.44444444444444,2.11111111111111,7
3.8,4.33333333333333,3.66666666666667,2,19,"bad",5,"NoQuestions",4,3,6,2.33333333333333,4,0,1.33333333333333,1.16666666666667,8
