"condition","pa","na","lifeSat","swls","lucky","gender","age"
"1",4.33333333333333,2,8,6,3,1,49
"2",2.66666666666667,1.33333333333333,8,4.8,1,1,18
"2",3.33333333333333,1,7,3.4,4,2,27
"1",4,2.33333333333333,8,4.2,3,1,20
"2",4,1.33333333333333,9,6.2,3,1,18
"2",4,1.33333333333333,7,5.4,3,1,19
"1",3,1.66666666666667,7,4.8,2,2,18
"1",3.66666666666667,1.33333333333333,9,5.4,3,2,18
"1",3.33333333333333,1,8,5.8,5,1,19
"1",3.33333333333333,1.33333333333333,7,6,3,1,19
"1",4,3.66666666666667,7,4.6,3,1,18
"1",4.33333333333333,3,8,5.8,5,1,20
"1",4,1.66666666666667,7,4.8,NA,1,18
"2",4,1.66666666666667,8,5.4,2,1,19
"1",3,1.33333333333333,8,5.6,2,1,20
"1",4,1.33333333333333,8,6.4,3,1,19
"2",3,1.66666666666667,8,4.6,4,1,18
"2",2.66666666666667,1.66666666666667,7,3.6,1,1,25
"2",5,1,8,5.6,5,1,19
"2",3.66666666666667,1.33333333333333,7,6.2,2,1,23
"1",4,1,10,5.8,3,1,18
"2",3.33333333333333,1.66666666666667,9,6,3,2,19
"2",3.66666666666667,1.66666666666667,8,5,1,1,21
"2",2.33333333333333,2,6,3.4,1,1,18
"2",4,1,5,2.6,3,1,22
"1",3.66666666666667,1.33333333333333,9,6.2,4,2,18
"1",4,2.33333333333333,8,6.4,3,2,18
"1",2.66666666666667,1.33333333333333,5,5.2,1,1,18
"1",2.66666666666667,2.66666666666667,7,5,2,1,19
"1",3,2,6,4.4,2,1,19
"2",3.33333333333333,1.33333333333333,8,5,4,1,18
"2",4,1,10,6.4,2,1,18
"2",3,2.33333333333333,7,5.4,1,1,19
"1",4,1.33333333333333,8,5.6,4,2,19
"2",5,2.33333333333333,10,4.6,3,2,24
"1",4,1,8,6.2,2,2,25
"2",3.33333333333333,1.33333333333333,8,5,3,1,18
"1",3,1.33333333333333,8,6.2,3,2,18
"1",1,2.66666666666667,5,2.6,1,1,18
"1",1,1,7,4,1,1,23
"2",4,2,7,4.6,3,2,18
"1",3,3,8,4.4,4,2,19
"1",2.33333333333333,2.33333333333333,7,5,1,1,18
"1",3,2.33333333333333,7,6.6,1,1,19
"1",4,2,9,4.8,3,2,21
"2",3.66666666666667,1,9,5.8,3,1,21
"1",1.33333333333333,2.33333333333333,5,3.6,3,2,19
"2",4,1,9,6.6,4,2,21
"1",4.33333333333333,1,10,7,2,2,23
"1",3,1.66666666666667,9,7,3,1,19
"2",1.33333333333333,4,3,2.2,1,2,28
